NotaCN,NotaCH,NotaLC,NotaMT,NotaRE,Sexo,EscolaPublica,Cor
502.5,569.5,531.7,601.5,680,F,S,B
446.5,495.1,552.4,416.7,520,F,S,Pa
433.2,534.3,510.4,490.8,540,M,S,Pr
410.4,408.5,498.9,458.6,560,M,S,Pr
373.6,507.5,511.2,414.6,280,F,S,Pr
538.6,543.9,501.7,513.4,660,F,S,Pr
546.7,489.5,549.1,601.2,580,M,S,Pa
494.6,456.4,492.1,561.2,760,M,S,Pr
588.9,598.2,517.5,521.8,520,M,S,B
378.3,381.7,451.8,417.1,280,M,S,Pr
575,609.4,585.4,469.2,580,M,N,A
361.1,387.7,405.9,436.7,400,F,S,Pr
403.8,415.5,498,360.9,600,M,S,Pr
477.9,517.6,521.7,389.9,880,F,S,Pr
543.4,577.1,568.6,496.4,800,F,N,Pr
366.1,467.4,503.1,433.1,640,F,S,Pr
373.7,415.6,368.4,518.4,580,F,S,Pr
453.4,487.8,517,502.7,300,F,S,B
468,544.1,575,582.2,880,F,S,B
444.6,507.2,538.6,460.7,560,F,S,A
532,538.5,559.6,638.4,640,F,S,B
522.9,509.4,511.3,617.4,540,M,S,B
530.4,562.9,571.2,585,620,M,S,B
429.8,404,509.5,509.9,440,M,S,Pr
551.1,600.3,621.5,645.5,720,F,S,B
436.1,584.1,532.5,507.9,760,M,S,Pr
556.2,539,539.5,627.8,920,M,S,B
408.2,475.7,348.9,512.9,300,M,S,Pr
525.8,624.5,625.1,487.2,640,F,S,Pr
427.8,532.4,482.9,378.9,560,F,S,Pa
577,499.2,555,676.2,840,M,S,Pr
351.1,426,462.6,403.5,560,F,S,B
412,443.6,449.2,444.1,480,F,S,Pr
446.6,405.5,453.1,417.4,360,F,S,Pr
550.7,608.4,582.1,693.3,720,F,N,Pr
384.6,420.1,448.1,489.2,580,M,S,Pr
406.1,515.7,559.3,590.7,620,M,S,B
370.9,501.6,499.9,653.8,360,M,S,B
414.1,382,481.1,456.4,620,F,S,Pr
463.4,445.5,513.8,462.6,600,F,S,Pr
660.2,660.2,655,807.1,860,F,N,B
524.7,580.2,561.1,530.1,760,F,S,B
512.1,557.4,542.1,482.3,960,F,S,Pr
